0.246269,0.873890,1.043108,,0.398822,0.824966,0.920774
0.181880,0.768121,0.873108,,0.348728,0.735870,0.781800
0.276835,1.147596,1.009899,,0.392564,0.805226,0.848544
0.288124,1.504982,1.669727,,0.448370,1.034340,1.066896
0.473869,1.561058,2.897703,,0.568380,1.107452,1.433198
0.581562,2.039315,2.974033,,0.673714,1.297924,1.514256
0.399071,1.566242,2.229626,,0.541816,1.192844,1.329230
0.413763,2.580973,2.617733,,0.528962,1.130736,1.511208
0.413763,2.580973,2.617733,,0.528962,1.130736,1.511208
0.592499,1.961386,3.607245,,0.661874,1.355098,1.691126
0.467448,1.075477,1.589312,,0.448350,0.933388,1.125836
