0.299, 0.769, 10.537
0.393, 0.773, 10.053
0.177, 0.613, 9.368
0.177, 0.613, 9.368
0.297, 0.812, 9.974
0.158, 0.912, 9.474
0.153, 0.893, 9.179
0.56, 1.125, 9.644
0.242, 1.195, 9.905
0.464, 1.118, 9.5
0.464, 1.118, 9.5
0.776, 1.02, 10.123
0.512, 0.776, 9.632
0.481, 1.444, 9.253
0.39, 1.441, 9.127
0.383, 0.74, 9.127
0.563, 1.523, 10.647
0.563, 1.523, 10.647
0.457, 1.128, 8.813
0.323, 1.025, 8.964
0.603, 1.044, 10.451
0.603, 1.044, 10.451
0.256, 0.369, 8.406
0.618, 1.113, 8.459
0.792, 1.137, 8.566
0.479, 0.352, 9.416
0.479, 0.352, 9.416
0.625, 1.252, 11.468
0.393, 0.476, 10.611
0.393, 0.476, 10.611
0.407, 0.721, 10.577
0.589, 0.905, 10.616
-0.227, 0.862, 10.917
-0.278, 0.778, 10.64
0.452, 0.982, 11.109
-0.314, 0.898, 10.525
-0.594, 1.034, 10.046
-0.184, 0.895, 10.549
-0.555, 0.587, 10.089
-0.541, 1.235, 10.597
-0.541, 1.235, 10.597
-0.05, 0.766, 9.562
-0.333, 1.018, 10.47
0.208, 0.857, 10.108
-0.587, 1.085, 9.467
-0.302, 0.9, 9.297
-0.563, 1.453, 8.937
-0.642, 1.451, 9.009
-0.946, 1.432, 8.621
-0.946, 1.432, 8.621
-0.879, 1.413, 9.194
-1.231, 1.329, 8.564
-0.536, 1.262, 8.732
-0.115, 0.685, 9.409
-0.115, 0.685, 9.409
-0.196, 1.094, 8.861
-0.534, 1.101, 9.881
-0.646, 0.996, 9.751
-0.223, 1.554, 8.061
-0.797, 1.077, 8.89
-0.797, 1.077, 8.89
-0.158, 1.202, 9.361
0.053, 0.804, 9.277
1.295, 0.436, 10.051
1.87, 0.591, 9.232
1.87, 0.591, 9.232
0.381, 0.093, 9.701
1.197, -0.723, 11.157
1.997, -0.323, 12.067
2.332, 0.86, 9.933
3.132, -0.034, 10.668
2.789, 0.136, 11.226
2.789, 0.136, 11.226
2.586, 0.031, 11.092
2.025, -0.577, 11.502
1.118, 0.067, 11.662
1.951, 0.73, 11.985
1.041, 0.771, 11.401
0.407, 0.723, 11.449
0.828, 0.649, 10.872
