0.135718,0.172804,0.373406,,0.258224,0.326606,0.552420
0.098479,0.150416,0.972231,,0.259898,0.327264,0.973350
0.123094,0.176007,0.517713,,0.284660,0.344752,0.641442
0.160959,0.429879,0.614622,,0.305128,0.560806,0.675300
0.098259,0.517492,0.424845,,0.244246,0.395534,0.575338
0.102235,0.546963,0.502352,,0.273766,0.465804,0.645578
0.124970,0.369986,0.431867,,0.303170,0.491512,0.611804
0.107000,0.232942,0.362326,,0.240872,0.379854,0.496942
0.169166,0.423306,0.604739,,0.270968,0.445988,0.633192
0.131774,0.225370,0.657768,,0.289842,0.422298,0.711706
0.187381,0.329700,0.858785,,0.311796,0.464042,0.780256
