0.721, -0.132, 10.273
0.721, -0.132, 10.273
0.977, 0.409, 9.026
1.051, -0.268, 8.894
1.051, -0.268, 8.894
1.685, -0.278, 11.107
1.499, -0.117, 8.064
1.712, -0.946, 9.943
2.298, -0.819, 11.114
1.669, -0.855, 10.259
2.497, -1.025, 11.202
2.497, -1.025, 11.202
1.786, 0.139, 9.546
1.774, 0.062, 11.138
1.877, 0.134, 11.557
1.877, 0.134, 11.557
1.93, -0.661, 9.05
1.532, 0.634, 10.884
1.571, 0.381, 8.243
0.68, 0.642, 10.671
0.285, 0.816, 8.564
0.405, 1.01, 10.017
0.405, 1.01, 10.017
0.596, 1.176, 9.251
-0.46, -0.244, 9.258
-0.302, 1.453, 9.601
-0.048, 1.08, 9.057
-0.048, 1.08, 9.057
0.242, 1.353, 9.23
0.074, 1.216, 8.43
0.002, 0.927, 8.71
-0.005, 0.802, 8.466
-0.005, 0.802, 8.466
0.565, 1.535, 8.076
-0.637, 1.073, 9.27
-0.816, 1.69, 9.701
-0.821, 1.669, 9.562
-0.132, 0.9, 10.135
-0.644, 1.532, 10.202
-0.297, 0.792, 11.576
-0.244, 0.273, 11.758
-0.57, 0.694, 11.626
-0.388, 1.707, 12.469
-0.388, 1.707, 12.469
-0.424, 0.682, 11.621
-0.376, 1.195, 9.886
-0.263, 1.19, 8.894
-0.263, 1.19, 8.894
0.376, 0.958, 11.231
-0.019, 0.105, 9.167
-0.148, 0.28, 9.998
-0.148, 0.28, 9.998
-1.606, -0.512, 12.057
-1.755, -0.57, 11.621
-2.167, 0.622, 11.736
-1.908, 0.206, 12.244
-2.274, -0.026, 10.012
-2.274, -0.026, 10.012
-1.812, -0.187, 11.652
-1.726, 0.757, 9.198
-1.207, 0.038, 10.563
-1.281, 0.328, 10.551
-0.409, 1.343, 9.469
-0.771, 0.57, 8.451
-0.8, 0.397, 8.267
-0.773, 0.816, 9.96
-0.773, 0.816, 9.96
-0.314, 0.998, 9.146
-0.096, 0.345, 9.886
0.005, 1.391, 8.803
0.005, 1.391, 8.803
0.385, 0.701, 9.294
0.045, 0.804, 8.432
0.045, 0.804, 8.432
0.694, 1.877, 10.151
1.314, 1.029, 7.812
2.411, 0.97, 9.052
2.411, 0.97, 9.052
1.927, 1.504, 9.821
1.647, 0.673, 10.405
2.701, 1.384, 9.744
3.749, 1.393, 11.473
2.207, 0.864, 8.916
2.207, 0.864, 8.916
3.117, 1.791, 11.913
2.847, 0.589, 8.803
2.847, 0.589, 8.803
2.643, 2.844, 9.61
3.359, 1.942, 9.684
3.359, 1.942, 9.684
2.152, 1.628, 7.805
2.155, 2.253, 7.645
0.809, 0.484, 8.854
-0.201, 0.579, 9.541
-0.201, 0.579, 9.541
-0.235, 0.39, 8.542
-0.67, 0.776, 10.324
-0.67, 0.776, 10.324
-0.589, 0.603, 10.81
-1.068, -0.436, 9.488
-1.046, 0.036, 10.053
-1.841, -0.105, 9.907
-0.417, -0.493, 9.313
-1.468, 0.646, 10.503
-1.006, -0.74, 8.178
-1.006, -0.74, 8.178
-0.929, -0.113, 9.675
-1.094, -0.527, 8.72
-2.27, 0.874, 9.668
-2.27, 0.874, 9.668
-2.952, 0.45, 9.998
-1.798, -0.283, 9.823
-1.832, 0.565, 9.158
-1.07, 1.697, 9.605
-1.331, 0.302, 9.969
-1.331, 0.302, 9.969
-0.426, 0.18, 11.032
-0.843, 0.998, 9.062
0.031, -0.417, 9.227
0.5, -0.345, 10.951
0.939, 0.409, 10.3
-1.061, 0.759, 10.951
-0.199, -0.946, 11.226
0.072, 1.391, 11.346
-0.97, 1.319, 10.345
-0.139, -1.219, 11.387
-0.139, -1.219, 11.387
-0.239, -0.136, 12.241
-0.294, 0.266, 11.832
-0.294, 0.266, 11.832
-0.177, -0.036, 11.114
0.101, -0.072, 9.445
-0.204, -0.692, 9.957
0.508, 1.29, 10.419
0.508, 1.29, 10.419
0.077, 0.883, 10.563
0.632, 1.046, 8.969
1.724, 0.472, 10.316
1.724, 0.472, 10.316
0.9, 0.97, 8.035
1.116, 0.843, 9.253
0.826, 1.022, 9.1
1.738, 0.713, 10.352
1.568, -0.153, 8.042
1.568, -0.153, 8.042
1.985, 1.257, 10.324
2.267, 0.883, 9.021
2.598, 0.998, 8.916
2.598, 0.998, 8.916
2.423, 0.278, 11.509
2.969, -0.034, 8.748
2.684, 0.905, 10.29
1.592, 0.266, 9.273
2.121, -0.333, 10.503
2.521, -0.069, 10.812
2.43, -1.798, 9.783
1.499, -0.285, 11.226
1.427, -0.012, 11.461
1.429, -0.508, 9.783
0.156, -1.803, 10.561
-0.692, -0.146, 11.028
0.084, 0.809, 10.915
0.084, 0.809, 10.915
-0.275, 0.931, 8.583
-0.74, 0.563, 11.061
-0.213, 0.271, 8.811
-1.638, 0.163, 8.763
-1.638, 0.163, 8.763
-1.223, 1.149, 8.897
-1.403, 0.165, 6.742
-0.79, 0.127, 8.279
-0.651, 0.67, 7.077
-1.183, -0.675, 8.325
-1.135, 0.582, 9.153
-2.054, 1.243, 8.698
-2.09, -0.057, 9.139
-2.279, 0.563, 8.313
-2.279, 0.563, 8.313
-2.251, 0.057, 10.029
-1.628, -0.91, 10.247
-2.088, 1.599, 10.12
-2.088, 1.599, 10.12
-2.131, 0.563, 10.146
-1.894, 0.407, 10.281
-0.994, -0.098, 9.409
-0.687, 0.0, 9.265
-1.583, 0.275, 9.886
-2.124, 1.125, 10.082
-1.176, 0.637, 9.967
-1.176, 0.637, 9.967
-0.294, 1.128, 9.083
-0.362, 0.242, 10.949
-0.452, -0.486, 8.605
-0.227, 1.245, 12.079
-0.91, 0.081, 11.375
-0.91, 0.081, 11.375
-0.821, 1.128, 9.04
1.02, 0.577, 10.4
-0.158, 0.452, 12.854
0.381, -0.045, 9.639
-0.096, 0.239, 10.707
0.864, 0.433, 11.528
0.864, 0.433, 11.528
0.97, -0.079, 10.4
1.836, -1.99, 11.839
1.836, -1.99, 11.839
1.52, 1.142, 10.003
1.336, 0.354, 10.85
1.417, 1.978, 10.067
1.171, 1.805, 9.131
1.384, -0.996, 7.453
2.047, -0.311, 8.451
2.047, -0.311, 8.451
2.703, 0.788, 7.862
1.283, 1.159, 9.708
1.767, 1.827, 8.928
0.809, 0.699, 7.053
