0.132, 0.259, 9.459
-0.053, 0.084, 10.929
-0.053, 0.084, 10.929
0.97, 0.417, 9.215
0.388, 0.05, 9.613
0.247, 0.819, 10.173
0.383, 0.778, 10.202
0.215, -0.213, 10.127
0.316, 0.034, 10.199
-0.089, 0.472, 9.876
-0.089, 0.472, 9.876
0.148, -0.431, 10.214
0.22, -0.079, 10.455
0.22, -0.079, 10.455
0.687, 0.675, 8.7
0.12, 0.136, 10.8
0.12, 0.136, 10.8
-0.215, 0.752, 9.78
0.199, -0.34, 9.435
0.218, 0.613, 10.443
0.218, 0.613, 10.443
0.302, 0.472, 9.004
0.472, -0.206, 11.03
0.378, 0.958, 10.0
0.378, 0.958, 10.0
0.283, -0.223, 10.352
0.848, 0.577, 10.309
0.848, 0.577, 10.309
0.431, 0.0, 8.992
0.558, 0.414, 9.761
0.352, 0.816, 10.302
0.352, 0.816, 10.302
0.192, -0.247, 9.246
0.309, 0.148, 9.816
0.194, 1.041, 9.905
0.012, -0.091, 10.036
0.718, 0.613, 10.372
0.493, -0.06, 9.234
0.493, -0.06, 9.234
0.153, 0.821, 10.46
0.194, -0.419, 8.995
-0.098, 0.067, 10.166
-0.098, 0.067, 10.166
0.333, -0.354, 10.293
0.529, 0.462, 10.537
-0.007, -1.156, 11.569
0.081, 0.615, 10.391
0.141, 0.134, 10.441
0.141, 0.134, 10.441
-0.129, 0.431, 10.048
-0.022, -0.84, 9.349
-0.022, -0.84, 9.349
-0.084, 0.797, 10.709
0.359, -0.026, 11.293
-0.249, -0.031, 8.447
-0.249, -0.031, 8.447
0.426, 0.357, 10.388
-0.019, 0.275, 9.505
-0.019, 0.275, 9.505
-0.072, -0.261, 9.241
0.385, 1.211, 10.419
0.311, -0.077, 8.832
0.093, 0.373, 9.811
0.101, 0.357, 9.945
-0.062, 0.565, 9.637
-0.053, 0.608, 9.732
0.22, 0.237, 9.751
-0.251, 0.366, 10.06
0.201, 0.077, 9.407
0.201, 0.077, 9.407
-0.12, 0.165, 10.039
-0.33, 0.163, 9.562
-0.376, 0.072, 9.529
-0.491, 0.156, 10.752
-0.103, 0.788, 9.658
0.151, -0.136, 9.519
-0.244, 0.445, 9.917
-0.005, 0.007, 9.574
-0.005, 0.007, 9.574
-0.079, 0.8, 10.235
-0.081, -0.113, 8.856
0.024, 0.63, 9.876
-0.105, 0.661, 9.651
0.096, 0.52, 9.495
0.637, 1.132, 8.997
0.711, 0.168, 9.524
0.711, 0.168, 9.524
0.113, 0.742, 9.22
-0.072, 0.769, 9.634
0.113, 0.649, 10.51
0.213, 0.417, 8.564
0.838, -0.148, 10.022
0.809, -0.05, 9.893
0.587, 0.18, 10.115
0.587, 0.18, 10.115
0.213, 0.52, 9.749
0.084, 0.68, 10.259
0.158, 0.567, 9.541
0.158, 0.567, 9.541
-0.01, -0.294, 9.85
-0.713, 0.275, 11.631
0.371, 0.306, 9.795
0.074, 0.333, 10.103
0.359, 0.093, 10.173
