0.536, 0.996, 9.134
0.215, 0.603, 8.547
0.402, 1.937, 10.68
0.455, 1.441, 9.17
0.326, 1.662, 9.498
0.338, 0.565, 9.953
0.335, 1.887, 10.695
0.259, 1.176, 10.048
0.515, 1.195, 10.542
0.661, 1.135, 9.881
0.661, 1.135, 9.881
0.95, 1.753, 9.596
-0.235, 1.061, 9.816
-0.235, 1.061, 9.816
0.292, 1.499, 11.391
0.433, 1.571, 8.801
0.52, 1.015, 11.406
0.12, 0.927, 7.894
0.127, 1.209, 7.896
-0.144, 1.475, 10.798
-0.144, 1.475, 10.798
0.117, 0.96, 8.272
-0.041, 1.312, 7.46
0.244, 2.155, 11.209
0.244, 2.155, 11.209
0.201, 1.19, 8.054
-0.716, 0.84, 8.746
-0.78, 0.831, 8.418
-0.113, 1.209, 8.712
0.627, 0.994, 10.98
-0.328, 1.003, 9.208
-0.328, 1.003, 9.208
0.256, 1.674, 11.044
-0.017, 0.788, 9.821
0.22, 0.931, 10.546
0.634, 1.168, 10.587
0.634, 1.168, 10.587
0.201, 0.725, 9.677
0.472, 1.525, 11.487
0.606, 0.898, 11.142
0.342, 0.895, 9.907
0.488, 1.7, 11.123
0.649, 0.857, 9.687
0.649, 0.857, 9.687
1.516, 1.013, 10.719
0.491, 1.642, 10.403
0.256, -0.062, 8.569
-0.115, 0.05, 10.762
-0.115, 0.05, 10.762
0.215, 2.346, 8.947
0.836, 1.556, 9.723
0.496, -0.364, 8.705
0.043, 1.731, 7.985
0.12, 1.614, 7.678
0.086, 0.074, 10.024
-0.05, 0.845, 8.655
0.807, 1.803, 10.178
0.517, 1.245, 8.128
0.431, 0.567, 10.671
0.931, 1.156, 10.07
0.146, 0.007, 8.854
-0.304, 1.08, 11.49
-0.091, 2.064, 9.421
-0.091, 2.064, 9.421
0.431, 0.388, 10.484
0.419, 0.328, 9.574
0.165, 0.742, 10.151
0.417, 1.24, 10.175
0.737, 0.381, 11.011
0.242, 0.678, 9.605
0.101, 1.338, 10.783
0.101, 1.338, 10.783
-0.098, 0.625, 9.083
0.141, 0.673, 10.249
0.555, 0.893, 9.409
0.555, 0.893, 9.409
0.124, 1.575, 8.93
0.201, 1.178, 10.221
0.237, 1.111, 10.434
0.297, 1.144, 10.484
-0.141, 1.18, 9.814
-0.163, 0.821, 9.617
-0.091, 0.929, 9.601
0.196, 1.132, 9.886
-0.031, 0.642, 9.244
-0.031, 0.642, 9.244
0.661, 0.929, 10.609
0.397, 1.264, 8.87
0.108, 0.773, 9.253
0.108, 0.773, 9.253
0.484, 0.584, 10.623
0.646, 0.773, 9.804
0.543, 0.989, 10.388
0.132, 0.929, 9.701
0.132, 0.929, 9.701
0.12, -0.043, 10.197
0.603, 0.965, 9.929
0.649, 0.357, 8.992
0.701, 0.388, 10.688
1.365, 0.862, 9.713
1.365, 0.862, 9.713
0.807, 1.348, 9.23
0.675, 1.638, 8.743
0.33, 0.749, 10.587
0.455, 0.072, 8.899
0.618, 0.917, 11.564
0.29, 0.876, 8.693
0.244, 0.862, 8.712
0.283, 0.22, 10.465
0.283, 0.22, 10.465
0.912, 1.135, 10.304
0.694, 1.058, 10.98
0.172, 1.614, 10.063
0.596, 0.385, 9.251
0.754, 0.29, 9.246
0.172, 1.152, 9.89
0.218, 0.73, 11.382
0.218, 0.73, 11.382
0.508, 0.821, 9.15
-0.029, 1.549, 8.42
-0.146, 1.475, 10.192
-0.129, 0.924, 9.143
0.242, 1.676, 11.624
-0.218, 1.547, 8.937
-0.218, 1.547, 8.937
0.651, 1.003, 10.343
0.555, 1.647, 9.581
0.017, 1.336, 9.11
0.017, 1.336, 9.11
0.153, 1.587, 10.941
0.869, 0.936, 9.706
0.105, 1.709, 9.651
0.215, 1.408, 9.419
0.215, 1.408, 9.419
0.457, 1.489, 9.687
0.089, 1.652, 10.065
0.254, 1.116, 10.142
0.373, 1.034, 9.979
0.333, 1.214, 9.716
0.625, 1.654, 9.768
0.285, 1.992, 9.519
0.285, 1.992, 9.519
0.804, 2.385, 10.381
0.498, -1.393, 8.916
0.498, -1.393, 8.916
1.221, 3.95, 12.885
0.512, 1.963, 8.959
0.546, 0.273, 10.951
0.206, 2.425, 10.582
1.367, 0.622, 9.943
0.546, 0.661, 10.515
-0.124, 2.353, 8.284
-0.124, 2.353, 8.284
0.819, 2.1, 10.908
-0.326, -0.639, 7.98
0.388, 2.083, 11.401
0.613, 2.246, 7.903
-0.101, 1.195, 9.064
-0.101, 1.195, 9.064
0.199, 1.099, 10.486
0.184, 1.357, 8.904
0.299, 0.63, 10.771
-0.096, 0.613, 8.89
0.948, 1.937, 11.466
0.788, 1.097, 10.518
-0.553, 1.235, 9.802
-0.247, 1.058, 10.467
-0.247, 1.058, 10.467
0.309, 1.257, 10.561
-0.096, 1.508, 10.158
-0.096, 1.508, 10.158
0.213, 1.006, 9.629
0.567, 1.779, 11.028
0.201, 0.998, 9.148
0.345, 0.611, 10.067
0.613, 1.271, 10.81
0.57, 1.492, 9.127
0.18, 0.95, 9.96
0.18, 0.95, 9.96
0.201, 0.4, 10.565
0.668, 0.883, 10.549
0.163, 0.85, 10.115
0.163, 0.85, 10.115
0.484, 0.979, 10.34
0.56, 1.714, 10.051
0.153, 1.532, 9.905
0.9, 0.486, 10.003
0.802, 0.541, 9.842
0.192, 1.173, 9.105
0.608, 2.239, 9.974
0.431, 0.867, 8.238
1.075, 3.206, 9.294
0.529, 1.484, 9.045
0.529, 1.484, 9.045
0.591, -1.077, 10.829
0.697, 2.217, 10.683
0.278, 0.68, 9.332
0.797, -0.223, 11.123
0.156, 1.52, 9.921
0.113, 1.846, 11.221
0.113, 1.846, 11.221
0.175, -0.275, 9.845
-0.11, 0.905, 10.52
0.373, 1.573, 10.146
0.373, 1.573, 10.146
-0.271, 0.517, 10.611
0.673, 1.329, 10.561
0.012, 0.67, 9.941
0.778, 1.987, 10.0
0.778, 1.987, 10.0
0.632, 0.84, 9.258
0.651, 1.075, 9.684
0.431, 1.872, 9.265
0.029, 1.329, 9.215
0.115, 1.264, 9.055
-0.079, 0.761, 9.376
0.302, 2.143, 9.16
-0.041, 0.883, 9.122
0.089, 1.815, 10.23
0.122, 0.893, 8.358
0.869, 0.318, 10.108
0.354, 0.965, 10.472
0.381, 0.984, 10.58
-0.089, 0.709, 9.505
0.239, 1.269, 10.319
0.448, 0.848, 10.474
0.524, 0.73, 9.893
0.891, -0.567, 8.509
0.122, -0.237, 11.547
0.122, -0.237, 11.547
-0.199, 3.103, 9.608
-0.385, -0.134, 10.281
-0.385, -0.134, 10.281
0.529, 2.437, 12.241
0.33, -0.225, 10.472
0.33, -0.225, 10.472
0.069, 0.036, 10.34
-0.098, 2.916, 10.281
0.534, -0.103, 8.672
1.669, 1.714, 10.697
0.733, 1.389, 8.562
0.352, -0.263, 10.745
0.352, -0.263, 10.745
-0.239, 1.621, 10.551
-0.045, 0.153, 8.195
-0.045, 0.153, 8.195
-0.275, 0.385, 10.994
0.093, 0.302, 9.23
0.093, 0.302, 9.23
-0.809, 0.512, 9.277
-0.419, 1.724, 7.709
-0.393, 1.511, 7.781
0.654, 0.381, 8.559
0.745, 1.475, 9.749
0.326, 1.022, 8.643
0.326, 1.022, 8.643
0.728, -0.093, 10.106
0.606, 1.439, 9.22
0.606, 1.439, 9.22
0.33, -0.151, 9.589
0.642, 1.444, 9.919
0.986, -0.354, 10.252
0.304, 0.603, 10.544
0.005, 1.439, 10.841
0.002, 1.911, 10.084
0.038, 1.003, 9.61
-0.206, 0.594, 9.996
-0.206, 0.594, 9.996
0.622, 1.666, 10.96
-0.093, 0.409, 10.565
0.721, 1.7, 8.425
0.972, 0.742, 9.749
0.227, 0.409, 9.028
0.725, 1.219, 12.141
0.63, 1.223, 12.009
0.065, 0.407, 9.158
0.074, 1.235, 8.406
0.735, 0.311, 11.126
0.804, 0.244, 10.343
0.527, 1.171, 11.265
0.026, 0.175, 10.067
0.608, 0.031, 11.006
0.055, -0.292, 10.477
0.055, -0.292, 10.477
-0.627, 1.36, 10.989
0.134, -0.019, 10.721
0.12, 0.994, 10.513
0.776, 0.196, 9.546
